Date,Count,Average_lof,Ranking_Factor
2017-01-03,232,130.89379171111642,0.564197378065157
2017-01-11,227,130.0580938049373,0.5729431445151423
2017-01-09,214,129.88328658426164,0.6069312457208488
2017-01-26,218,133.35851901166072,0.6117363257415629
2017-01-10,211,132.80028564251214,0.6293852400119059
2017-01-23,216,138.43656284160267,0.640910013155568
2017-02-13,229,131.44651861134417,0.5740022646783588
2017-02-16,229,136.94151916264815,0.5979979002735727
2017-02-09,216,130.08346380603382,0.6022382583612677
2017-02-08,225,136.44567096804045,0.606425204302402
2017-02-15,226,139.02701740846226,0.6151637938427533
2017-02-02,230,145.70952131216578,0.6335196578789817
2017-03-06,221,147.22508707061027,0.6661768645728972
2017-03-23,229,153.54849552680014,0.6705174477152844
2017-03-20,225,150.95859432986904,0.6709270859105291
2017-03-07,222,148.94835211085478,0.6709385230218684
2017-03-15,223,150.84123412891952,0.6764180902642131
2017-03-29,231,158.23612262014876,0.6850048598274838
2017-04-27,238,173.4666236335575,0.7288513598048635
2017-04-19,221,163.32789080603214,0.7390402298915482
2017-04-10,226,167.70803654510343,0.7420709581641745
2017-04-06,211,157.85805708646967,0.7481424506467756
2017-04-26,214,162.9872225851784,0.7616225354447588
2017-04-20,228,177.06007222086447,0.7765792641265985
